# M_star [M_sun], T_star [K], M_disk [M_sun], alpha, R [au], T_disk [K], Sigma_gas [g/cm^2], eps, afrag [cm], OmegaK [1/s], tgr [s]
1.000000000000000000e+00,4.397000000000000000e+03,5.000000000000000278e-02,1.775778156124137482e-03,3.161475087757497704e+01,9.383708048216432474e+01,2.586791856385910471e+00,4.326571797129471347e-03,5.586019923166921780e-02,1.120038762369469669e-09,2.063588181745438538e+11
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,1.177199401403593635e-04,1.292509404549713192e+00,3.821440510945632241e+02,3.285765521384411159e+01,1.441283552362766507e-01,2.745712089173232950e+00,1.049524923594547072e-07,6.610857760622778535e+07
1.000000000000000000e+00,4.397000000000000000e+03,5.000000000000000278e-02,4.526452796933497528e-04,5.508942705725718980e-01,7.108389907841765307e+02,1.136730955878078220e+02,2.640686115097676343e-04,1.268274124915510281e+00,4.869286355265689951e-07,7.777103927886585236e+09
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,5.550091104946145576e-03,5.338481902592563166e+00,1.078825569511898266e+02,2.373887210829300987e+00,2.233865881082609528e-01,1.422423252752999523e-02,6.251534989700797522e-09,7.160712523830454350e+08
8.000000000000000444e-01,4.221000000000000000e+03,4.000000000000000777e-02,1.152269121998753584e-03,4.292522843763122431e-01,7.379195474257612659e+02,1.125132019245270385e+02,6.418898752966625265e-01,4.746861455862004808e-01,6.332041752403632107e-07,2.460343270186660811e+06
6.999999999999999556e-01,4.111000000000000000e+03,3.500000000000000333e-02,2.839488262958761357e-04,6.067361587860057304e-01,5.899698306403238348e+02,7.327358017744852248e+01,5.510893938670852199e-02,1.573863089130016713e+00,3.524657341459145168e-07,5.148266794203721732e+07
9.000000000000000222e-01,4.315000000000000000e+03,4.500000000000000527e-02,3.200944949576819791e-04,1.216536651744309516e+01,1.451492934958943408e+02,6.592969603000848444e+00,2.222070304970866564e-02,5.317651597240727890e-01,4.451446486877732173e-09,1.010976469498698807e+10
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,6.465158301138299556e-04,8.448625025942222067e+01,4.192122222118184993e+01,2.182010415986587182e-01,9.644041560352450970e-01,3.358495862485278566e-02,1.621506304740457244e-10,6.394731071753056526e+09
8.999999999999998279e-02,2.861000000000000000e+03,4.499999999999999660e-03,8.205929335885234167e-05,5.461943343496524772e-01,2.785097789050795996e+02,1.030568818081105675e+01,4.837844812116335984e-03,2.063739131738113741e+00,1.479681238696646234e-07,1.396946904662179947e+09
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,8.184283227345622242e-04,9.805431145565410844e+00,1.811689294422524483e+02,1.082842221816596329e+01,1.132820596262312275e-02,2.630105370381534136e-01,7.103269306171660520e-09,1.242740875461208344e+10
9.000000000000000222e-01,4.315000000000000000e+03,4.500000000000000527e-02,4.138267094884175330e-03,1.313959725313077165e+01,1.396647813533597571e+02,6.109850709940576330e+00,1.078588591234306854e-03,3.792740597274137787e-02,3.965663619051773633e-09,2.337912778180161743e+11
2.999999999999999889e-01,3.460000000000000000e+03,1.499999999999999944e-02,4.229414818457416801e-05,4.883267718834807258e-01,5.025232239819580968e+02,3.779779694288252045e+01,3.597575979880263120e-01,8.709423347700955276e+00,3.195674406086362919e-07,8.698162173939932138e+06
5.000000000000000278e-02,2.761000000000000000e+03,2.500000000000000486e-03,5.337776862891920049e-03,4.420686862784101834e+00,7.990116828926858261e+01,9.370081783577376422e-01,2.731195622957270641e-02,7.884137467155915777e-03,4.789807632244479748e-09,7.644148591844177246e+09
8.000000000000000444e-01,4.221000000000000000e+03,4.000000000000000777e-02,6.826365116048946531e-03,5.012677493101598714e+01,6.829365560406856162e+01,1.099813845098472465e+00,2.867656534953652667e-03,8.465237435082992659e-03,5.017738760263179446e-10,6.949680185545773926e+11
1.000000000000000056e-01,2.925000000000000000e+03,5.000000000000000971e-03,6.813300531401242019e-04,1.204079685255362087e+01,5.843727865353452700e+01,7.399866283808901324e-01,1.857630936989246534e-04,7.087148129331412305e-02,1.506901465068674860e-09,3.572364045342050781e+12
1.000000000000000000e+00,4.397000000000000000e+03,5.000000000000000278e-02,5.057065797003709035e-03,6.745766959975281196e-01,6.423765884272527273e+02,9.561308597703890655e+01,1.218936889655928353e-04,1.055712078973536361e-01,3.593525227379177279e-07,2.282958838637656021e+10
1.100000000000000089e+00,4.471000000000000000e+03,5.500000000000000722e-02,1.169169164109996276e-03,7.521143227578505730e+01,6.316534489433689714e+01,7.568299652164476310e-01,2.496502253710791361e-04,3.737513135680018556e-02,3.201387558144952074e-10,1.251208784374913477e+13
1.399999999999999911e+00,4.647000000000000000e+03,6.999999999999999278e-02,2.728159528012249449e-04,2.789765679365256101e+00,3.610368727862658602e+02,3.937530974665949657e+01,1.454740674275885326e-02,1.447218161231000666e+00,5.055686387126072992e-08,1.359672432030573845e+09
1.100000000000000006e-01,2.945000000000000000e+03,5.500000000000000548e-03,3.571308796796025028e-03,6.149741026292609991e-01,2.704225761116978219e+02,1.138253242634460882e+01,4.272034981817303748e-03,4.227879457460052143e-02,1.369237548798963665e-07,1.709568076125132799e+09
2.000000000000000111e-01,3.220000000000000000e+03,1.000000000000000021e-02,2.262264690455976623e-03,2.421733058028670627e+01,5.871932569632537735e+01,7.105769935014315530e-01,8.148277352001614482e-04,1.928390353435262272e-02,7.471250389836914831e-10,1.642634368923944336e+12
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,1.230132611536676650e-03,9.894693489848582768e-01,3.870559141626239352e+02,2.755317446176160701e+01,3.363684509477233853e-01,2.076483689936528820e-01,1.279364148431059250e-07,2.323756237188312039e+07
1.100000000000000006e-01,2.945000000000000000e+03,5.500000000000000548e-03,5.324268143557500145e-03,1.884542075667318350e+00,1.544792469804480675e+02,4.351310365395236524e+00,1.064126619302403287e-03,1.897840303968365352e-02,2.552438484620312705e-08,3.681725526427049255e+10
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,8.430785909921070667e-04,6.070829069075494466e+00,1.763278974096667184e+02,8.452554544099454503e+00,7.246522050839093732e-02,2.047679968893248714e-01,1.031030034291724777e-08,1.338440486984021664e+09
1.300000000000000044e+00,4.596000000000000000e+03,6.500000000000000222e-02,3.791619758342924243e-04,1.792696549156135521e+00,4.371830546084401590e+02,5.369582304066150158e+01,4.033308777901331989e-04,1.165658469273906261e+00,9.457562094155010859e-08,2.621557133757350540e+10
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,3.068926598714796035e-05,4.299770441073517691e-01,8.651540086508542799e+02,1.685271672452756775e+02,7.428846046307126250e-02,2.669893361935218934e+01,7.735536100669194749e-07,1.740156165218321979e+07
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,5.551981416865618083e-04,6.312197618056929471e+00,1.532450684223722135e+02,5.438479419374883328e+00,2.061209311764455321e-01,2.321493279088476525e-01,7.940115393832231015e-09,6.110138999918999672e+08
1.700000000000000122e-01,3.139000000000000000e+03,8.500000000000000611e-03,1.392881856643720859e-04,1.603375033664857563e+00,2.116877615967599979e+02,7.732325150207708830e+00,3.152262267024875594e-04,1.062930968746694349e+00,4.043332757829384173e-08,7.845816964129669189e+10
8.000000000000000444e-01,4.221000000000000000e+03,4.000000000000000777e-02,2.449284793863620163e-03,5.568596309727561255e+00,2.048769345406369666e+02,1.218764578490606887e+01,1.302803025347935557e-04,8.714712486896168675e-02,1.355170969307557477e-08,5.664050959313656006e+11
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,8.466010345316860985e-04,5.557355626518289959e-01,5.827869564222037297e+02,6.769625767147483941e+01,5.533324174433705833e-01,4.923193375908693770e-01,3.722554292434176433e-07,4.854816787245308049e+06
4.000000000000000083e-02,2.731000000000000000e+03,2.000000000000000042e-03,5.647352891151449956e-03,9.492689089928332269e-01,1.558791959248395074e+02,2.855040185609030168e+00,3.825719027503031965e-03,1.163433557282703840e-02,4.305403002447907936e-08,6.071180147668676376e+09
1.100000000000000089e+00,4.471000000000000000e+03,5.500000000000000722e-02,1.805528715065290275e-04,1.610449727589370328e+00,4.315976002563616021e+02,4.984298545982417750e+01,6.135902636990815499e-03,2.328671406682885081e+00,1.021746792703434430e-07,1.595064528447307825e+09
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,2.583483974353017782e-04,7.958681353491116717e+00,1.540016166988563953e+02,6.589555913482278093e+00,3.122278361058332678e-04,6.316302835000758842e-01,6.868812298306139134e-09,4.662799401887852173e+11
2.999999999999999889e-01,3.460000000000000000e+03,1.499999999999999944e-02,4.157412244412639845e-04,1.108260128578426773e+01,1.054870875865880038e+02,2.406755089950916027e+00,5.483871917838705201e-01,2.068496079386182851e-01,2.955736826744363637e-09,6.169456899319005013e+08
1.100000000000000089e+00,4.471000000000000000e+03,5.500000000000000722e-02,6.062904963608805090e-05,5.502134328752427139e-01,7.383920042850585332e+02,1.251724904072974454e+02,1.788077121213773940e-03,1.051600695377390338e+01,5.116432606528169889e-07,1.093066276766391277e+09
1.300000000000000044e-01,3.006000000000000000e+03,6.500000000000000569e-03,5.293987086469376796e-03,4.679857780060229788e-01,3.376937448370492234e+02,1.698453645471264295e+01,3.727356212529121110e-02,3.407788678625651990e-02,2.242282835079028279e-07,1.196488995567590743e+08
5.000000000000000000e-01,3.849000000000000000e+03,2.500000000000000139e-02,1.182230639266176279e-03,2.141480108916099923e+01,8.892986074724659318e+01,2.039131675847023928e+00,2.908346985278154606e-01,7.013410292272900803e-02,1.420632133695915625e-09,2.420316416823149681e+09
1.000000000000000056e-01,2.925000000000000000e+03,5.000000000000000971e-03,9.668012194337052443e-04,9.313811620243852119e+00,6.643798775464327377e+01,9.475538501606030062e-01,7.310582186652726626e-03,5.410000542395568268e-02,2.215014249137876689e-09,6.175491264817312622e+10
5.000000000000000000e-01,3.849000000000000000e+03,2.500000000000000139e-02,9.688508117197011616e-04,4.206367325177659211e+00,2.006477740847708446e+02,9.793816231041740039e+00,3.633628576295232920e-02,1.811317283641722675e-01,1.631893859686693997e-08,1.686427048997829914e+09
1.300000000000000044e+00,4.596000000000000000e+03,6.500000000000000222e-02,2.206992788760940311e-03,8.374519358104185462e-01,6.396416616128292389e+02,1.033037824184350626e+02,2.192490835306614740e-03,2.624887419499323249e-01,2.962098791087098641e-07,1.539794182301023960e+09
1.300000000000000044e-01,3.006000000000000000e+03,6.500000000000000569e-03,3.037983481987182547e-03,9.659388725452806579e-01,2.350524563600572776e+02,9.141462305772668273e+00,7.226045009499528285e-03,4.592548088672019496e-02,7.561621056536091641e-08,1.830140485212158442e+09
5.000000000000000278e-02,2.761000000000000000e+03,2.500000000000000486e-03,2.380420682931551975e-04,4.035203255842428227e+00,8.362976087408499382e+01,1.016183867707054045e+00,2.147382254406542525e-04,2.761088465986176188e-01,5.492304134564458039e-09,8.478832620467385254e+11
7.499999999999998335e-02,2.835000000000000000e+03,3.749999999999999861e-03,2.461312260605743804e-03,2.527126025260850728e+00,1.199019986314527415e+02,2.299539296498520624e+00,7.279340951087331316e-04,2.797709762452435869e-02,1.357244155507437256e-08,1.012161836848545074e+11
1.300000000000000044e+00,4.596000000000000000e+03,6.500000000000000222e-02,3.441832462815382077e-04,4.522142747888082681e+00,2.752610341296812635e+02,2.387423469151008959e+01,6.333533657726208264e-03,9.129694947993932663e-01,2.360603105183940870e-08,6.688534062180876732e+09
6.999999999999999556e-01,4.111000000000000000e+03,3.500000000000000333e-02,1.134031017509341821e-03,3.167141936586578055e+00,2.582237681502707005e+02,1.761656125294017272e+01,2.265393923690038960e-02,2.160040434061936687e-01,2.955394281431490588e-08,1.493622475357042313e+09
9.000000000000000222e-01,4.315000000000000000e+03,4.500000000000000527e-02,3.460857714146526871e-04,4.123498645841747745e+00,2.493115690844807659e+02,1.794327390365596742e+01,3.497966994035407078e-04,7.550009367425302154e-01,2.255745861408648749e-08,1.267342863089684753e+11
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,1.850223705026711289e-03,1.287006020767540448e+01,1.211040498586796019e+02,4.157879759538940512e+00,3.093957597701452178e-01,6.667602103586886542e-02,3.340199881220398275e-09,9.676386041344575882e+08
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,2.183978736737056392e-03,5.057851947386000546e+01,3.510639231252122272e+01,2.034124517816585653e-01,9.339406865789174894e-01,9.663827877937790009e-03,2.143700748409017386e-10,4.994782079056257248e+09
1.100000000000000089e+00,4.471000000000000000e+03,5.500000000000000722e-02,6.893188986431350194e-04,2.540782402807046925e+00,3.436124709419427745e+02,3.356850299752588995e+01,1.738865359469234789e-03,5.091463759787323573e-01,5.155999092013708190e-08,1.115375785803206635e+10
5.000000000000000278e-02,2.761000000000000000e+03,2.500000000000000486e-03,1.958200790486806385e-04,5.587277481589776329e-01,2.247354943272320043e+02,5.615550064751473336e+00,4.503378187413593914e-03,4.807816766680306220e-01,1.065988060987585077e-07,2.083095781475850105e+09
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,6.949946463357508861e-03,8.533720403779987862e+01,6.142188818087067403e+01,6.410890715403769757e-01,5.622818641317058885e-01,5.389366536112077076e-03,2.766627614669032747e-10,6.428286383288397789e+09
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,5.691653873070944393e-04,4.450269760980340550e+00,1.181583736557801956e+02,2.794363260018848383e+00,5.708503115845809939e-01,1.520739706192836271e-01,8.213605172439666980e-09,2.132769566958494484e+08
5.999999999999999778e-02,2.807000000000000000e+03,3.000000000000000062e-03,6.501528817987445698e-04,1.638877643146635421e+01,4.352169461649647531e+01,3.255597700635275427e-01,1.940780118101698842e-02,4.725095381520254961e-02,7.350612485122594495e-10,7.009711396537939453e+10
1.000000000000000000e+00,4.397000000000000000e+03,5.000000000000000278e-02,1.688096700539084248e-04,2.639943782124742899e+00,3.247193160169373414e+02,2.951454580099272107e+01,9.333135522397296990e-02,1.991797069508573603e+00,4.641685176755982966e-08,2.308323893148528934e+08
6.999999999999999556e-01,4.111000000000000000e+03,3.500000000000000333e-02,3.487926566528895111e-04,1.762246241081310671e+01,1.094722381125334749e+02,3.521114337277493789e+00,3.537885821991523794e-01,3.537385823427304787e-01,2.251732673417931117e-09,1.255276381638273954e+09
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,8.644855528470846411e-04,7.766590235655379537e-01,4.368774873820522657e+02,3.390341112093332754e+01,6.772186903611062680e-01,3.221874484201986411e-01,1.839721593886401788e-07,8.026365980147297494e+06
9.000000000000000222e-01,4.315000000000000000e+03,4.500000000000000527e-02,8.445289539054540726e-04,4.559556741388513501e+01,7.498046382967615386e+01,1.424412590926260602e+00,1.421339927559696070e-01,8.254840891061542008e-02,6.134865089322265466e-10,1.146824671060297585e+10
9.000000000000000222e-01,4.315000000000000000e+03,4.500000000000000527e-02,9.159443560547449301e-05,2.903135290532900203e+00,2.971266325051356034e+02,2.444582692213982966e+01,5.231184538972650849e-04,3.741103221559268999e+00,3.818458201839834299e-08,5.006242908015351868e+10
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,8.394907613353234802e-04,4.009279025895930437e-01,8.959482345504690102e+02,1.788852127362839326e+02,4.066126609644250649e-03,8.532109175961446468e-01,8.591300285955395875e-07,2.862596946406295896e+08
8.000000000000000444e-01,4.221000000000000000e+03,4.000000000000000777e-02,1.517212994149203485e-03,3.278568041530912858e+00,2.670074823697116244e+02,1.953076381832889652e+01,2.123292148981898581e-03,1.730200913947558816e-01,2.999759177154556323e-08,1.570015194259886360e+10
7.499999999999998335e-02,2.835000000000000000e+03,3.749999999999999861e-03,4.626040503337300325e-03,3.353437370337290702e+01,3.298455680377274746e+01,1.801314083317455683e-01,3.924695906995639798e-03,4.250529579233272744e-03,2.807779707762358412e-10,9.074672417419294434e+11
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,1.366242880741799467e-04,1.033380397604754819e+01,1.764765752780086530e+02,1.029848814352071606e+01,7.418003271088553785e-03,1.885389497880763265e+00,6.565502837423143338e-09,2.053264914508487701e+10
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,4.595256957760663350e-04,6.768715285938194937e-01,3.029696383965869018e+02,1.430039119697345562e+01,1.000223545071137615e-02,3.701256710063591249e-01,1.384694472264183398e-07,7.220195681544883251e+08
2.999999999999999889e-01,3.460000000000000000e+03,1.499999999999999944e-02,6.736563329324103894e-05,6.629476825977110854e-01,4.312923853784050152e+02,2.911342343104441710e+01,5.723359373988993332e-03,4.079850304016356510e+00,2.020270122014064125e-07,8.648475162429149151e+08
1.100000000000000006e-01,2.945000000000000000e+03,5.500000000000000548e-03,3.375946263801985793e-03,2.855224558867972107e+00,1.255033728527207586e+02,3.031653194961151598e+00,7.043868846699173902e-01,2.567767845215442740e-02,1.368685403749937629e-08,1.037253963953962326e+08
7.199999999999999456e-02,2.831000000000000000e+03,3.599999999999999901e-03,4.646124758475553046e-04,6.694449379096351072e-01,2.290111924323463484e+02,6.929221998829988571e+00,1.122781207753035942e-01,2.354433447504799548e-01,9.753526185110851248e-08,9.131522858768802881e+07
5.999999999999999778e-02,2.807000000000000000e+03,3.000000000000000062e-03,1.080707840696753293e-03,7.784409463572303789e-01,1.995555755386149599e+02,5.075550062608219726e+00,1.610012880464492535e-01,8.457710578066633678e-02,7.100759707510608408e-08,8.747135080234532058e+07
1.499999999999999944e-02,2.514000000000000000e+03,7.500000000000000156e-04,6.044093713112481123e-04,1.257915209904701470e+01,3.125919664411547672e+01,1.063237236907034339e-01,3.590478304152534827e-02,3.706856433699532577e-02,5.465580257268449626e-10,5.095788768822100830e+10
1.700000000000000122e-01,3.139000000000000000e+03,8.500000000000000611e-03,1.711593165522204852e-03,4.194911192012493739e-01,4.138580621713816754e+02,2.438268661694088024e+01,3.590190745037608044e-03,1.234863802691531648e-01,3.021398456590112185e-07,9.218801714894579649e+08
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,6.962426035573355751e-03,4.224483580891916223e-01,3.834999750099531752e+02,2.138564060574430314e+01,1.402112230849176244e-01,2.872860532758128929e-02,2.808360711652781049e-07,2.539594240848248824e+07
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,9.826444255643864301e-04,2.449817307515262854e+01,8.777995371472015051e+01,2.103823147628087753e+00,3.264332108988525667e-03,8.855086021364325100e-02,1.271870154444462648e-09,2.408590043538953857e+11
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,6.566699104909215490e-03,6.632535630202756494e+00,1.494986290065444052e+02,5.197947044979497555e+00,1.231635354272441057e-01,1.899329197539604414e-02,7.371880847356263601e-09,1.101385985556395531e+09
1.700000000000000122e-01,3.139000000000000000e+03,8.500000000000000611e-03,5.783893452146076947e-05,6.135515223598269063e-01,3.422057704660300601e+02,1.762602296350565467e+01,1.177077950359507567e-03,4.876896351096791982e+00,1.708109084972867076e-07,4.973695267862003326e+09
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,1.792639329777214006e-04,3.715547018929244771e+00,2.943098662340790952e+02,2.623716991012245714e+01,6.190490480923572332e-04,1.844399066058879599e+00,3.045258609418083422e-08,5.304577027880627441e+10
1.300000000000000044e+00,4.596000000000000000e+03,6.500000000000000222e-02,8.747880125776347215e-05,5.284281786420740312e-01,8.052369589803516874e+02,1.531218777616394675e+02,4.707923005560099182e-04,7.941238968686892719e+00,5.909631791676220863e-07,3.594266093211895466e+09
5.000000000000000278e-02,2.761000000000000000e+03,2.500000000000000486e-03,5.137912026365934730e-04,1.621624583185005575e+00,1.319167033802310129e+02,2.252111236017155793e+00,7.241441036986219493e-02,1.215734577173466363e-01,2.155893096822842531e-08,6.405422474961078167e+08
5.000000000000000278e-02,2.761000000000000000e+03,2.500000000000000486e-03,2.186607090316761148e-03,7.940662355953358453e-01,1.885141086117816087e+02,4.158308515202415734e+00,1.522318362775966374e-04,3.620273471797380571e-02,6.291694203656119271e-08,1.044063486322319183e+11
7.000000000000000666e-02,2.834000000000000000e+03,3.500000000000000507e-03,2.031898308781904857e-03,1.549510397653535598e+01,4.673080083102308180e+01,4.023989347971287933e-01,2.807589652575936089e-03,1.535299863521568005e-02,8.636245446570141529e-10,4.124215880127648926e+11
7.499999999999998335e-02,2.835000000000000000e+03,3.749999999999999861e-03,1.205073484751478406e-03,4.171694223959099723e+00,9.332386137550702188e+01,1.479918500646040469e+00,4.086750856633842091e-03,4.753536029638400634e-02,6.399258124607616855e-09,3.823773941058988953e+10
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,5.313595682912210672e-04,4.241080774889063321e+00,1.210372059984133557e+02,2.916754343271435790e+00,5.047169804175571234e-02,1.663083856794921878e-01,8.828735630606469416e-09,2.244158729989916801e+09
4.000000000000000083e-02,2.731000000000000000e+03,2.000000000000000042e-03,1.179391841205798715e-03,1.057452973672329266e+00,1.476905463042345161e+02,2.602681448659441621e+00,3.510324883254374861e-01,5.375215123832528114e-02,3.661896796301170729e-08,7.779408678273840249e+07
8.000000000000000444e-01,4.221000000000000000e+03,4.000000000000000777e-02,1.088196298919820958e-04,4.868492768247738578e-01,6.928960074398268034e+02,1.010550721345979355e+02,5.944138202668799130e-03,4.884523329111691403e+00,5.242288266982287992e-07,3.209151374496928453e+08
4.000000000000000083e-02,2.731000000000000000e+03,2.000000000000000042e-03,5.934356407856489473e-04,1.237858122747263812e+00,1.365050247306794233e+02,2.273405420180772740e+00,8.969646291146025074e-01,1.020584347005356468e-01,2.891288230680445002e-08,3.855966873268508166e+07
1.399999999999999911e+00,4.647000000000000000e+03,6.999999999999999278e-02,3.124642499844731535e-03,1.976625295072192756e+01,1.356364429658956396e+02,6.231181657433107368e+00,4.823133086298144190e-01,5.276193573591651115e-02,2.680681354520049779e-09,7.734380978761030436e+08
2.000000000000000111e-01,3.220000000000000000e+03,1.000000000000000021e-02,3.661850684981411783e-04,1.424572106743393540e+01,7.654947826386801069e+01,1.252224224398348351e+00,8.378666487389366258e-02,1.840533851263362886e-01,1.655983639968248037e-09,7.207241164160559654e+09
1.100000000000000089e+00,4.471000000000000000e+03,5.500000000000000722e-02,6.143558909036910117e-04,3.064102834114316387e+00,3.128967275896500837e+02,2.849841295379632555e+01,3.939285563648256376e-03,5.330361988110631222e-01,3.893220815666641415e-08,6.520388890323068619e+09
1.100000000000000006e-01,2.945000000000000000e+03,5.500000000000000548e-03,6.616072157359720492e-03,3.401619563706299942e+01,3.641226434037875492e+01,2.594248720385638474e-01,1.780699640609798235e-03,3.868481586856083263e-03,3.328399366001052910e-10,1.687228482958986328e+12
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,4.794488832597389025e-05,6.517332007774331304e-01,4.769138450631909336e+02,3.938801398039459656e+01,7.941424055214967677e-04,7.880702365975814416e+00,2.393276775088002543e-07,5.261489240431970596e+09
1.000000000000000056e-01,2.925000000000000000e+03,5.000000000000000971e-03,6.771293576767477805e-03,8.210450732102301252e-01,2.237388431951000882e+02,8.082178563904330204e+00,7.722448602280208158e-03,1.913572770456455768e-02,8.462860845508908783e-08,1.530128039603061438e+09
2.000000000000000111e-01,3.220000000000000000e+03,1.000000000000000021e-02,3.851788101179942549e-03,5.567174395590929947e+01,3.876300027766873058e+01,2.333437681502265881e-01,2.307679669649156384e-01,5.628133099516566436e-03,2.143534400276136770e-10,2.021594365055044174e+10
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,8.300636967063144966e-03,4.547489387151367524e+00,1.805468879128844719e+02,7.309369295482409434e+00,2.469344438208978879e-02,1.749477727820425432e-02,1.298494616257212491e-08,3.118732849131340504e+09
1.100000000000000006e-01,2.945000000000000000e+03,5.500000000000000548e-03,1.701525388799181174e-03,7.902891411821235668e-01,2.385494855624576758e+02,9.185679686093640939e+00,5.234503424360764656e-01,8.121584361427873489e-02,9.399072932935214580e-08,2.032541829939255491e+07
6.999999999999999556e-01,4.111000000000000000e+03,3.500000000000000333e-02,1.455556621494783528e-04,8.516759456159631592e-01,4.979578240500879360e+02,5.482879801422756572e+01,3.545106258768870866e-02,2.760647318833648445e+00,2.119362017904189729e-07,1.330961815939001143e+08
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,4.817300719385921547e-03,9.381194292504163590e-01,5.857158832780033890e+02,8.652282647451320940e+01,8.040545876261590051e-04,1.099911110590504060e-01,2.400330955455005106e-07,5.181354891271255493e+09
2.000000000000000042e-02,2.594000000000000000e+03,1.000000000000000021e-03,7.526980843953545892e-03,7.238134957702705208e+00,4.519979772230743720e+01,2.398430304125024337e-01,3.628291854450300669e-01,2.530551491943268047e-03,1.445914730284290605e-09,1.906141356344154358e+09
5.999999999999999778e-02,2.807000000000000000e+03,3.000000000000000062e-03,9.282138270992144197e-04,1.319286236094923126e+00,1.532881096183955947e+02,3.228322210303029127e+00,3.475998689917885517e-03,8.174194516799650201e-02,3.218361148217245035e-08,8.938931702383390427e+09
1.100000000000000089e+00,4.471000000000000000e+03,5.500000000000000722e-02,7.737360695582092289e-05,5.853293970951632952e-01,7.159000819008576855e+02,1.187314451324378837e+02,6.613170127202744331e-02,7.924000955331673701e+00,4.662979831823770218e-07,3.242849306021918729e+07
7.000000000000000666e-02,2.834000000000000000e+03,3.500000000000000507e-03,7.398496567966588756e-03,2.246071598567329630e+00,1.226776800993332444e+02,2.378134464464692677e+00,4.755278822407332795e-01,9.399113117495319636e-03,1.564881025105399347e-08,1.343824915191715658e+08
8.999999999999998279e-02,2.861000000000000000e+03,4.499999999999999660e-03,1.757186013171717831e-03,2.194017361223156115e+01,4.397285011390082587e+01,3.573338765055936728e-01,4.765589967965065503e-03,1.684118675959589070e-02,5.812043604880860921e-10,3.610392873008239136e+11
9.000000000000000222e-01,4.315000000000000000e+03,4.500000000000000527e-02,2.685919604704794204e-03,1.925429595349967160e+00,3.648474531091893027e+02,3.494625465129940523e+01,1.128687888719907412e-01,1.279231583232512126e-01,7.069643092413418545e-08,1.253223834351101667e+08
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,5.188870024073939831e-03,3.718299023916099344e+01,7.125475943521155386e+01,1.260091164566763844e+00,2.969107299888030117e-03,1.223234301535052783e-02,6.801846945040700157e-10,4.951619357028212280e+11
1.000000000000000056e-01,2.925000000000000000e+03,5.000000000000000971e-03,9.389123343123298795e-05,7.832675986998302031e-01,2.290708188502501628e+02,8.414629565266629641e+00,4.019373423576265425e-02,1.890984121306604759e+00,9.082438308605696540e-08,2.739297409240392447e+08
1.300000000000000044e+00,4.596000000000000000e+03,6.500000000000000222e-02,2.147849451978989677e-03,9.528364339634989300e-01,5.996633582248026642e+02,9.249098341254253342e+01,5.488368142910289571e-02,2.575870625902367816e-01,2.440685620552478424e-07,7.465259738183996081e+07
7.199999999999999456e-02,2.831000000000000000e+03,3.599999999999999901e-03,1.650378328392216503e-03,1.040747174393466601e+01,5.809469616747353626e+01,6.137110477732228286e-01,1.893382724892750738e-03,2.318467849234500874e-02,1.591168184523122599e-09,3.319292336208720093e+11
6.999999999999999556e-01,4.111000000000000000e+03,3.500000000000000333e-02,1.627116576283136728e-03,5.419928558019400100e-01,6.242132164120486095e+02,8.068550479986483026e+01,9.363642328268416415e-02,2.849666179949282840e-01,4.174710612868213200e-07,2.558166502526674420e+07
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,4.268311401608544491e-03,1.365979039303405251e+01,6.745009318008460752e+01,9.796312938188265207e-01,2.279859191841534030e-02,1.221803724019948460e-02,1.527380619376398487e-09,2.871737235388671112e+10
