# M_star [M_sun], T_star [K], M_disk [M_sun], alpha, R [au], T_disk [K], Sigma_gas [g/cm^2], eps, afrag [cm], OmegaK [1/s], tgr [s]
6.999999999999999556e-01,4.111000000000000000e+03,3.500000000000000333e-02,1.115431951245887026e-03,2.776403325084099816e+00,2.757964319412648706e+02,1.977046072434648494e+01,1.445833697230090604e-03,2.307303538240251251e-01,3.600749301973909805e-08,1.920829303058084869e+10
1.000000000000000021e-02,2.387000000000000000e+03,5.000000000000000104e-04,7.029716091288459303e-04,3.683741335279668849e+00,4.940132236748194572e+01,2.203101702170762732e-01,1.789897224544611132e-03,2.472723373634840710e-02,2.816008801969891036e-09,1.983982775764826355e+11
1.000000000000000056e-01,2.925000000000000000e+03,5.000000000000000971e-03,1.610021919945553871e-04,6.178286092519084116e-01,2.579233688083018023e+02,1.030690119384509273e+01,2.795313812180816662e-02,9.413670250300593123e-01,1.296479567096061362e-07,2.759330700753384233e+08
2.999999999999999889e-01,3.460000000000000000e+03,1.499999999999999944e-02,2.396720468701658401e-03,8.338593300939387554e-01,3.845608251948996781e+02,2.392723273907763470e+01,1.335035829562547603e-04,9.312539671412735365e-02,1.432152078424126063e-07,5.230195720120847321e+10
1.499999999999999944e-02,2.514000000000000000e+03,7.500000000000000156e-04,7.776440047803089310e-04,3.343651915633928606e+00,6.048267576632870401e+01,3.599251318740314121e-01,2.269534446739740821e-03,2.864446340342710270e-02,3.988244168550287020e-09,1.104794446099405670e+11
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,1.560896136017117476e-04,1.122327687590507672e+01,1.296844511576448724e+02,4.755017362514259105e+00,1.305787279623489604e-03,1.231408687612320696e+00,4.101699205775023655e-09,1.867083572278373718e+11
1.100000000000000089e+00,4.471000000000000000e+03,5.500000000000000722e-02,8.860993359502746317e-03,5.377648846361652346e+01,7.469494991307792020e+01,1.356193946848901044e+00,4.933822058982372666e-02,7.351039645918611316e-03,5.295114817195927304e-10,3.827728590240775299e+10
1.100000000000000006e-01,2.945000000000000000e+03,5.500000000000000548e-03,1.250261147515056718e-03,2.096260323907368939e+00,1.464707509279972726e+02,3.967867275932408955e+00,7.042607349195241229e-01,7.792366927347245398e-02,2.175686013139691494e-08,6.526349156621605158e+07
9.000000000000000222e-01,4.315000000000000000e+03,4.500000000000000527e-02,7.922925137643196849e-05,4.017527462807872318e+00,2.525782319265797184e+02,1.836267106394832638e+01,6.268619200114537993e-01,4.911799615979889566e+00,2.345582281942893221e-08,6.801073041295701265e+07
8.000000000000000444e-01,4.221000000000000000e+03,4.000000000000000777e-02,1.078492111533519007e-04,3.407605090860641450e+00,2.619032696937083529e+02,1.887854821977294506e+01,2.649056763846909801e-01,2.746448030447131483e+00,2.830993060794882958e-08,1.333429106238424778e+08
2.999999999999999889e-01,3.460000000000000000e+03,1.499999999999999944e-02,1.714773765923321459e-03,7.329627601742229048e-01,4.101762129459355037e+02,2.671876629738686049e+01,5.065098805804321789e-04,1.362792265316856710e-01,1.737822682574922257e-07,1.136073989883440399e+10
4.000000000000000083e-02,2.731000000000000000e+03,2.000000000000000042e-03,1.271330093996673278e-03,8.173359564223909857e+00,5.313942999472803308e+01,4.285380062993464634e-01,2.210043109077631986e-04,2.321172766938791113e-02,1.704106712835717257e-09,2.655231964847282227e+12
6.999999999999999556e-01,4.111000000000000000e+03,3.500000000000000333e-02,8.423403704900764592e-04,2.070809383352420152e+00,3.193447463605674557e+02,2.551900560097892878e+01,1.806222604711460011e-04,3.406916683407110735e-01,5.589932100234296217e-08,9.904263685421171570e+10
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,9.293373848341879772e-05,9.048768963103702712e-01,2.620339619677806127e+02,1.115488992220326914e+01,2.325387538217458443e-04,2.010210461855063802e+00,8.958371712839489110e-08,4.800379588574301147e+10
